,predictions,file_names
117,sad,29-02-04-OAF_limb_sad.wav
118,happy,27-67-03-OAF-jar-happy.wav
119,sad,29-02-04-OAF_soup_sad.wav
120,sad,03-01-04-02-01-01-12.wav
121,angry,03-01-05-01-01-01-02.wav
122,happy,27-52-03-OAF-goose-happy.wav
123,sad,29-02-04-OAF_south_sad.wav
124,sad,29-02-04-OAF_wheat_sad.wav
125,happy,27-39-03-OAF-far-happy.wav
126,happy,03-01-05-02-02-01-15.wav
127,neutral,26-01-01-01-jug-neutral.wav
128,angry,28-02-05-OAF_search_angry.wav
129,neutral,03-01-05-01-02-01-12.wav
130,sad,03-01-03-01-01-02-16.wav
131,sad,03-01-04-02-02-01-19.wav
132,sad,03-01-04-02-02-01-01.wav
133,angry,28-02-05-OAF_yes_angry.wav
134,sad,03-01-04-02-01-02-23.wav
135,sad,03-01-04-01-02-01-12.wav
136,happy,27-90-03-OAF_sour_happy.wav
137,sad,03-01-04-01-01-02-14.wav
138,sad,03-01-04-01-01-02-21.wav
139,sad,29-02-04-OAF_pike_sad.wav
140,angry,28-02-05-OAF_such_angry.wav
141,angry,03-01-05-02-02-02-23.wav
142,happy,27-94-03-OAF_love_happy.wav
143,sad,03-01-03-02-02-02-19.wav
144,happy,03-01-03-01-02-02-19.wav
145,sad,03-01-01-01-02-02-10.wav
146,sad,29-02-04-OAF_near_sad.wav
147,neutral,30-03-01-OAF_chief_neutral.wav
148,angry,03-01-05-01-01-02-14.wav
149,angry,03-01-05-02-02-02-03.wav
150,angry,28-02-05-OAF_pole_angry.wav
151,happy,27-90-03-OAF_talk_happy.wav
152,happy,27-01-03-OAF-back-happy.wav
153,angry,03-01-05-02-01-02-04.wav
154,neutral,03-01-01-01-01-01-08.wav
155,sad,29-02-04-OAF_date_sad.wav
156,happy,03-01-03-01-02-01-06.wav
157,neutral,30-03-01-OAF_name_neutral.wav
158,neutral,03-01-03-01-02-01-18.wav
159,neutral,03-01-01-01-01-01-23.wav
160,angry,28-02-05-OAF_five_angry.wav
161,angry,28-02-05-OAF_should_angry.wav
162,sad,03-01-04-01-01-02-23.wav
163,happy,27-90-03-OAF_time_happy.wav
164,sad,03-01-04-02-02-01-07.wav
165,happy,03-01-05-02-01-02-15.wav
166,happy,27-90-03-OAF_third_happy.wav
167,sad,29-02-04-OAF_boat_sad.wav
168,happy,03-01-03-01-01-01-20.wav
169,sad,03-01-04-01-01-02-11.wav
170,neutral,30-03-01-OAF_limb_neutral.wav
171,sad,03-01-04-01-01-02-07.wav
172,angry,03-01-05-02-01-02-19.wav
173,angry,03-01-05-02-01-01-18.wav
174,neutral,30-03-01-OAF_vote_neutral.wav
175,happy,26-01-03-01-dog-happy.wav
176,neutral,30-03-01-OAF_dead_neutral.wav
177,neutral,30-03-01-OAF_fat_neutral.wav
178,sad,29-02-04-OAF_check_sad.wav
179,happy,03-01-05-01-02-01-15.wav
180,happy,03-01-05-01-01-02-02.wav
181,angry,28-02-05-OAF_team_angry.wav
182,sad,03-01-01-01-02-01-07.wav
183,happy,27-90-03-OAF_vine_happy.wav
184,angry,03-01-05-02-02-02-17.wav
185,neutral,03-01-01-01-02-01-14.wav
186,happy,03-01-04-02-02-01-15.wav
187,sad,03-01-03-01-01-02-17.wav
188,angry,03-01-05-02-02-01-22.wav
189,sad,03-01-01-01-02-01-11.wav
190,sad,29-02-04-OAF_bath_sad.wav
191,angry,03-01-05-02-01-01-17.wav
192,happy,03-01-03-01-01-02-14.wav
193,sad,03-01-04-01-01-01-23.wav
194,happy,27-50-03-OAF-goal-happy.wav
195,happy,27-90-03-OAF_near_happy.wav
196,sad,29-02-04-OAF_met_sad.wav
197,happy,27-90-03-OAF_name_happy.wav
198,angry,03-01-05-02-01-02-13.wav
199,sad,29-02-04-OAF_home_sad.wav
200,angry,03-01-03-02-01-01-06.wav
201,sad,03-01-04-02-01-02-12.wav
202,happy,27-90-03-OAF_mop_happy.wav
203,angry,28-02-05-OAF_lease_angry.wav
204,angry,28-02-05-OAF_ditch_angry.wav
205,sad,03-01-03-02-02-02-09.wav
206,sad,29-02-04-OAF_goose_sad.wav
207,happy,27-90-03-OAF_pole_happy.wav
208,neutral,30-03-01-OAF_white_neutral.wav
209,happy,03-01-03-01-01-01-14.wav
210,sad,29-02-04-OAF_thumb_sad.wav
211,sad,03-01-04-01-01-02-13.wav
212,neutral,03-01-03-01-01-01-15.wav
213,sad,29-02-04-OAF_thought_sad.wav
214,neutral,30-03-01-OAF_ton_neutral.wav
215,sad,03-01-04-02-02-01-12.wav
216,neutral,03-01-01-01-02-02-02.wav
217,angry,28-02-05-OAF_nag_angry.wav
218,sad,29-02-04-OAF_pole_sad.wav
219,neutral,30-03-01-OAF_witch_neutral.wav
220,angry,28-02-05-OAF_which_angry.wav
221,angry,03-01-05-01-01-02-13.wav
222,neutral,30-03-01-OAF_bone_neutral.wav
223,neutral,30-03-01-OAF_deep_neutral.wav
224,angry,28-02-05-OAF_make_angry.wav
225,sad,03-01-04-01-01-02-03.wav
226,sad,29-02-04-OAF_mill_sad.wav
227,angry,03-01-05-01-01-01-11.wav
228,neutral,30-03-01-OAF_room_neutral.wav
229,angry,28-02-05-OAF_size_angry.wav
230,neutral,30-03-01-OAF_judge_neutral.wav
231,sad,03-01-03-01-02-02-14.wav
232,neutral,30-03-01-OAF_calm_neutral.wav
233,neutral,30-03-01-OAF_mood_neutral.wav
234,happy,27-06-03-OAF-beg-happy.wav
235,angry,28-02-05-OAF_page_angry.wav
236,sad,29-02-04-OAF_keen_sad.wav
237,angry,03-01-05-01-01-01-07.wav
238,happy,03-01-03-02-01-01-21.wav
239,happy,03-01-05-01-02-02-20.wav
240,happy,27-90-03-OAF_team_happy.wav
241,angry,26-01-05-01-cab-angry.wav
242,happy,27-90-03-OAF_wheat_happy.wav
243,angry,03-01-03-02-01-02-03.wav
244,neutral,03-01-01-01-02-02-07.wav
245,sad,03-01-01-01-01-01-12.wav
246,happy,03-01-03-01-02-02-04.wav
247,angry,03-01-05-02-01-01-15.wav
248,sad,29-02-04-OAF_rag_sad.wav
249,angry,03-01-05-01-01-01-17.wav
250,happy,03-01-03-02-01-02-17.wav
251,sad,29-02-04-OAF_gap_sad.wav
252,angry,03-01-05-01-02-02-02.wav
253,angry,03-01-05-02-02-01-19.wav
254,sad,29-02-04-OAF_cab_sad.wav
255,sad,03-01-05-01-01-02-06.wav
256,sad,03-01-04-01-02-01-11.wav
257,sad,03-01-04-01-02-01-18.wav
258,angry,03-01-05-02-01-02-16.wav
259,neutral,30-03-01-OAF_hit_neutral.wav
260,happy,27-61-03-OAF-hit-happy.wav
261,angry,28-02-05-OAF_thought_angry.wav
262,sad,03-01-04-01-02-01-03.wav
263,happy,03-01-03-01-02-01-03.wav
264,angry,03-01-05-01-01-02-12.wav
265,happy,03-01-05-01-02-01-18.wav
266,angry,03-01-05-02-02-01-04.wav
267,neutral,03-01-01-01-02-02-18.wav
268,happy,03-01-05-01-01-01-08.wav
269,neutral,30-03-01-OAF_soap_neutral.wav
270,sad,29-02-04-OAF_mode_sad.wav
271,sad,29-02-04-OAF_far_sad.wav
272,neutral,30-03-01-OAF_rose_neutral.wav
273,angry,28-02-05-OAF_get_angry.wav
274,neutral,30-03-01-OAF_cause_neutral.wav
275,neutral,03-01-01-01-01-02-16.wav
276,sad,29-02-04-OAF_mess_sad.wav
277,angry,03-01-05-01-01-02-05.wav
278,happy,03-01-03-02-01-02-05.wav
279,neutral,26-01-01-01-juice-neutral.wav
280,happy,27-90-03-OAF_pass_happy.wav
281,happy,03-01-03-02-02-02-05.wav
282,happy,03-01-03-02-01-02-23.wav
283,happy,03-01-03-01-02-02-15.wav
284,neutral,03-01-01-01-01-02-23.wav
285,sad,29-02-04-OAF_wag_sad.wav
286,neutral,30-03-01-OAF_shack_neutral.wav
287,sad,03-01-04-01-02-01-10.wav
288,neutral,03-01-04-01-02-01-01.wav
289,neutral,30-03-01-OAF_phone_neutral.wav
290,neutral,03-01-01-01-01-02-05.wav
291,happy,03-01-03-02-02-01-08.wav
292,happy,27-90-03-OAF_pick_happy.wav
293,happy,03-01-05-01-01-01-15.wav
294,neutral,30-03-01-OAF_gin_neutral.wav
295,angry,28-02-05-OAF_fat_angry.wav
296,angry,28-02-05-OAF_sub_angry.wav
297,angry,28-02-05-OAF_tape_angry.wav
298,neutral,26-01-01-01-jar-neutral.wav
